Time,HandRoleL.x,HandRoleL.y,HandRoleL.z,ThumbPosL1.x,ThumbPosL1.y,ThumbPosL1.z,ThumbPosL2.x,ThumbPosL2.y,ThumbPosL2.z,ThumbPosL3.x,ThumbPosL3.y,ThumbPosL3.z,ThumbPosL4.x,ThumbPosL4.y,ThumbPosL4.z,IndexPosL1.x,IndexPosL1.y,IndexPosL1.z,IndexPosL2.x,IndexPosL2.y,IndexPosL2.z,IndexPosL3.x,IndexPosL3.y,IndexPosL3.z,IndexPosL4.x,IndexPosL4.y,IndexPosL4.z,MiddlePosL1.x,MiddlePosL1.y,MiddlePosL1.z,MiddlePosL2.x,MiddlePosL2.y,MiddlePosL2.z,MiddlePosL3.x,MiddlePosL3.y,MiddlePosL3.z,MiddlePosL4.x,MiddlePosL4.y,MiddlePosL4.z,RingPosL1.x,RingPosL1.y,RingPosL1.z,RingPosL2.x,RingPosL2.y,RingPosL2.z,RingPosL3.x,RingPosL3.y,RingPosL3.z,RingPosL4.x,RingPosL4.y,RingPosL4.z,PinkyPosL1.x,PinkyPosL1.y,PinkyPosL1.z,PinkyPosL2.x,PinkyPosL2.y,PinkyPosL2.z,PinkyPosL3.x,PinkyPosL3.y,PinkyPosL3.z,PinkyPosL4.x,PinkyPosL4.y,PinkyPosL4.z
0.0000,357.2435,8.046921,347.1826,-0.4650412,-0.1356912,0.5922588,-1.092258,-0.09715039,0.6113456,-1.581125,-0.5548604,0.1737259,-1.249142,-0.8582757,-0.223422,-1.738798,0.2622544,0.6897258,-2.354734,0.1701216,0.9458548,-2.778831,-0.04381319,1.120432,-3.088612,-0.2960074,1.24682,-1.739702,0.2209792,0.2367355,-2.535435,0.05741141,0.3571868,-3.009081,-0.2891591,0.4410017,-3.264812,-0.6224657,0.4933636,-1.682495,0.1315493,-0.1667857,-2.435781,-0.01614559,-0.1769105,-2.885727,-0.3230062,-0.164112,-3.182125,-0.673287,-0.1429119,-1.552393,-0.006943818,-0.5161577,-2.188927,-0.04009365,-0.6425135,-2.885727,-0.3230062,-0.164112,-3.182125,-0.673287,-0.1429119
0.0065,357.2435,8.046921,347.1826,-0.4650412,-0.1356912,0.5922588,-1.092255,-0.09713924,0.6114025,-1.581169,-0.5547181,0.1736974,-1.249289,-0.858075,-0.2235811,-1.738798,0.2622544,0.6897258,-2.354767,0.1703831,0.9458715,-2.779001,-0.04322471,1.120511,-3.089001,-0.2951051,1.246993,-1.739702,0.2209792,0.2367355,-2.53544,0.05743898,0.3571863,-3.009111,-0.2890989,0.4410028,-3.264874,-0.6223817,0.4933679,-1.682495,0.1315493,-0.1667857,-2.435793,-0.01608551,-0.1769161,-2.885788,-0.3228744,-0.1641253,-3.182261,-0.6730921,-0.1429329,-1.552393,-0.006943818,-0.5161577,-2.188927,-0.04008664,-0.6425145,-2.885788,-0.3228744,-0.1641253,-3.182261,-0.6730921,-0.1429329
0.0139,357.2435,8.046921,347.1826,-0.4650412,-0.1356912,0.5922588,-1.092255,-0.09713924,0.6114025,-1.581169,-0.5547181,0.1736974,-1.249289,-0.858075,-0.2235811,-1.738798,0.2622544,0.6897258,-2.354767,0.1703831,0.9458715,-2.779001,-0.04322471,1.120511,-3.089001,-0.2951051,1.246993,-1.739702,0.2209792,0.2367355,-2.53544,0.05743898,0.3571863,-3.009111,-0.2890989,0.4410028,-3.264874,-0.6223817,0.4933679,-1.682495,0.1315493,-0.1667857,-2.435793,-0.01608551,-0.1769161,-2.885788,-0.3228744,-0.1641253,-3.182261,-0.6730921,-0.1429329,-1.552393,-0.006943818,-0.5161577,-2.188927,-0.04008664,-0.6425145,-2.885788,-0.3228744,-0.1641253,-3.182261,-0.6730921,-0.1429329
0.0165,357.2435,8.046921,347.1826,-0.4650412,-0.1356912,0.5922588,-1.092255,-0.09713924,0.6114025,-1.581169,-0.5547181,0.1736974,-1.249289,-0.858075,-0.2235811,-1.738798,0.2622544,0.6897258,-2.354767,0.1703831,0.9458715,-2.779001,-0.04322471,1.120511,-3.089001,-0.2951051,1.246993,-1.739702,0.2209792,0.2367355,-2.53544,0.05743898,0.3571863,-3.009111,-0.2890989,0.4410028,-3.264874,-0.6223817,0.4933679,-1.682495,0.1315493,-0.1667857,-2.435793,-0.01608551,-0.1769161,-2.885788,-0.3228744,-0.1641253,-3.182261,-0.6730921,-0.1429329,-1.552393,-0.006943818,-0.5161577,-2.188927,-0.04008664,-0.6425145,-2.885788,-0.3228744,-0.1641253,-3.182261,-0.6730921,-0.1429329
0.0195,357.2444,8.074112,347.1802,-0.4647675,-0.135677,0.5924768,-1.09198,-0.09713547,0.6117218,-1.580948,-0.5546744,0.1740367,-1.248899,-0.8578462,-0.2232434,-1.738461,0.2623244,0.6905502,-2.354357,0.1708465,0.947009,-2.778715,-0.04228333,1.121934,-3.08897,-0.2937088,1.248692,-1.73958,0.2210543,0.2375599,-2.535284,0.05762142,0.3583835,-3.008993,-0.2888086,0.4424247,-3.264826,-0.6220173,0.4949152,-1.682568,0.1316263,-0.1659893,-2.435894,-0.0158818,-0.1757739,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687,-1.552637,-0.006868825,-0.5154241,-2.18923,-0.04005497,-0.6414711,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687
0.0220,357.2444,8.074112,347.1802,-0.4647675,-0.135677,0.5924768,-1.09198,-0.09713547,0.6117218,-1.580948,-0.5546744,0.1740367,-1.248899,-0.8578462,-0.2232434,-1.738461,0.2623244,0.6905502,-2.354357,0.1708465,0.947009,-2.778715,-0.04228333,1.121934,-3.08897,-0.2937088,1.248692,-1.73958,0.2210543,0.2375599,-2.535284,0.05762142,0.3583835,-3.008993,-0.2888086,0.4424247,-3.264826,-0.6220173,0.4949152,-1.682568,0.1316263,-0.1659893,-2.435894,-0.0158818,-0.1757739,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687,-1.552637,-0.006868825,-0.5154241,-2.18923,-0.04005497,-0.6414711,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687
0.0246,357.2444,8.074112,347.1802,-0.4647675,-0.135677,0.5924768,-1.09198,-0.09713547,0.6117218,-1.580948,-0.5546744,0.1740367,-1.248899,-0.8578462,-0.2232434,-1.738461,0.2623244,0.6905502,-2.354357,0.1708465,0.947009,-2.778715,-0.04228333,1.121934,-3.08897,-0.2937088,1.248692,-1.73958,0.2210543,0.2375599,-2.535284,0.05762142,0.3583835,-3.008993,-0.2888086,0.4424247,-3.264826,-0.6220173,0.4949152,-1.682568,0.1316263,-0.1659893,-2.435894,-0.0158818,-0.1757739,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687,-1.552637,-0.006868825,-0.5154241,-2.18923,-0.04005497,-0.6414711,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687
0.0270,357.2444,8.074112,347.1802,-0.4647675,-0.135677,0.5924768,-1.09198,-0.09713547,0.6117218,-1.580948,-0.5546744,0.1740367,-1.248899,-0.8578462,-0.2232434,-1.738461,0.2623244,0.6905502,-2.354357,0.1708465,0.947009,-2.778715,-0.04228333,1.121934,-3.08897,-0.2937088,1.248692,-1.73958,0.2210543,0.2375599,-2.535284,0.05762142,0.3583835,-3.008993,-0.2888086,0.4424247,-3.264826,-0.6220173,0.4949152,-1.682568,0.1316263,-0.1659893,-2.435894,-0.0158818,-0.1757739,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687,-1.552637,-0.006868825,-0.5154241,-2.18923,-0.04005497,-0.6414711,-2.885973,-0.32254,-0.1627856,-3.182568,-0.6726475,-0.1414687
0.0299,357.2375,8.055023,347.185,-0.4649487,-0.1356594,0.5923387,-1.092165,-0.09715288,0.6115057,-1.581055,-0.554624,0.1736622,-1.24909,-0.8577896,-0.2236915,-1.738714,0.2622246,0.6899495,-2.354755,0.1712778,0.946251,-2.779449,-0.04116824,1.121193,-3.090187,-0.2919319,1.248079,-1.739679,0.2209052,0.2369634,-2.535431,0.05751801,0.3575406,-3.00923,-0.2888162,0.4414707,-3.265171,-0.6219478,0.493926,-1.682528,0.1314392,-0.1665573,-2.435863,-0.01600059,-0.1765873,-2.886034,-0.3225291,-0.1637324,-3.182781,-0.6725123,-0.1424938,-1.552467,-0.007080724,-0.5159343,-2.189014,-0.0402906,-0.6421941,-2.886034,-0.3225291,-0.1637324,-3.182781,-0.6725123,-0.1424938
0.0330,357.2375,8.055023,347.185,-0.4649487,-0.1356594,0.5923387,-1.092165,-0.09715288,0.6115057,-1.581055,-0.554624,0.1736622,-1.24909,-0.8577896,-0.2236915,-1.738714,0.2622246,0.6899495,-2.354755,0.1712778,0.946251,-2.779449,-0.04116824,1.121193,-3.090187,-0.2919319,1.248079,-1.739679,0.2209052,0.2369634,-2.535431,0.05751801,0.3575406,-3.00923,-0.2888162,0.4414707,-3.265171,-0.6219478,0.493926,-1.682528,0.1314392,-0.1665573,-2.435863,-0.01600059,-0.1765873,-2.886034,-0.3225291,-0.1637324,-3.182781,-0.6725123,-0.1424938,-1.552467,-0.007080724,-0.5159343,-2.189014,-0.0402906,-0.6421941,-2.886034,-0.3225291,-0.1637324,-3.182781,-0.6725123,-0.1424938
0.0393,357.2665,8.275727,347.1773,-0.4626951,-0.1358508,0.5940567,-1.089888,-0.09749669,0.6142641,-1.579355,-0.5552652,0.177377,-1.246391,-0.8575196,-0.2198355,-1.735994,0.2622459,0.6967573,-2.351166,0.1721548,0.9554361,-2.775677,-0.03922027,1.13211,-3.086678,-0.2889538,1.260378,-1.73871,0.2211456,0.2437583,-2.534061,0.05803559,0.3673129,-3.007755,-0.2880357,0.452909,-3.26375,-0.6209909,0.5062079,-1.683128,0.131863,-0.1600223,-2.436563,-0.01523242,-0.1672432,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401,-1.554441,-0.006514699,-0.5099637,-2.191477,-0.03956284,-0.6337868,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401
