Time,HandRoleR.x,HandRoleR.y,HandRoleR.z,ThumbPosR1.x,ThumbPosR1.y,ThumbPosR1.z,ThumbPosR2.x,ThumbPosR2.y,ThumbPosR2.z,ThumbPosR3.x,ThumbPosR3.y,ThumbPosR3.z,ThumbPosR4.x,ThumbPosR4.y,ThumbPosR4.z,IndexPosR1.x,IndexPosR1.y,IndexPosR1.z,IndexPosR2.x,IndexPosR2.y,IndexPosR2.z,IndexPosR3.x,IndexPosR3.y,IndexPosR3.z,IndexPosR4.x,IndexPosR4.y,IndexPosR4.z,MiddlePosR1.x,MiddlePosR1.y,MiddlePosR1.z,MiddlePosR2.x,MiddlePosR2.y,MiddlePosR2.z,MiddlePosR3.x,MiddlePosR3.y,MiddlePosR3.z,MiddlePosR4.x,MiddlePosR4.y,MiddlePosR4.z,RingPosR1.x,RingPosR1.y,RingPosR1.z,RingPosR2.x,RingPosR2.y,RingPosR2.z,RingPosR3.x,RingPosR3.y,RingPosR3.z,RingPosR4.x,RingPosR4.y,RingPosR4.z,PinkyPosR1.x,PinkyPosR1.y,PinkyPosR1.z,PinkyPosR2.x,PinkyPosR2.y,PinkyPosR2.z,PinkyPosR3.x,PinkyPosR3.y,PinkyPosR3.z,PinkyPosR4.x,PinkyPosR4.y,PinkyPosR4.z
0.0000,348.935,170.4743,0.009195762,-0.3951168,-0.1732308,-0.6319172,-0.7617197,-0.07463105,-1.13313,-1.068675,0.08186573,-1.855133,-1.298891,0.1992384,-2.396635,-1.722556,-0.07853358,-0.7711819,-2.318483,-0.180595,-1.0677,-2.741599,-0.3384534,-1.295973,-3.071715,-0.5141245,-1.484982,-1.731068,-0.1700302,-0.3257832,-2.53499,-0.04345417,-0.435585,-3.115433,0.0479354,-0.5148633,-3.529925,0.1131964,-0.5714757,-1.669701,-0.2887659,0.06944172,-2.406471,-0.5016574,0.03694229,-2.87464,-0.7761967,-0.01051903,-3.224531,-1.06925,-0.06290704,-1.523621,-0.4314613,0.4108026,-2.152929,-0.5618619,0.5067568,-2.52079,-0.7211889,0.5473289,-2.83007,-0.9081324,0.5715454
0.0065,348.9042,170.5039,0.01847122,-0.3954744,-0.1728521,-0.6317978,-0.7623453,-0.07388465,-1.132742,-1.069515,0.0832379,-1.854517,-1.299892,0.2010798,-2.395849,-1.722983,-0.07798757,-0.770284,-2.31914,-0.1795676,-1.066504,-2.742533,-0.3369085,-1.294623,-3.072957,-0.512076,-1.48356,-1.731258,-0.1697317,-0.3249316,-2.535152,-0.0424163,-0.4340859,-3.115574,0.04950707,-0.5128967,-3.530052,0.1151492,-0.5691754,-1.669683,-0.2886916,0.07019363,-2.40651,-0.5014306,0.03799506,-2.874789,-0.7758043,-0.009341761,-3.224821,-1.068698,-0.06168008,-1.523426,-0.431587,0.4113951,-2.152747,-0.5616722,0.5076927,-2.520787,-0.7205239,0.5485021,-2.830389,-0.9069062,0.5729489
0.0139,348.9042,170.5039,0.01847122,-0.3954744,-0.1728521,-0.6317978,-0.7623453,-0.07388465,-1.132742,-1.069515,0.0832379,-1.854517,-1.299892,0.2010798,-2.395849,-1.722983,-0.07798757,-0.770284,-2.31914,-0.1795676,-1.066504,-2.742533,-0.3369085,-1.294623,-3.072957,-0.512076,-1.48356,-1.731258,-0.1697317,-0.3249316,-2.535152,-0.0424163,-0.4340859,-3.115574,0.04950707,-0.5128967,-3.530052,0.1151492,-0.5691754,-1.669683,-0.2886916,0.07019363,-2.40651,-0.5014306,0.03799506,-2.874789,-0.7758043,-0.009341761,-3.224821,-1.068698,-0.06168008,-1.523426,-0.431587,0.4113951,-2.152747,-0.5616722,0.5076927,-2.520787,-0.7205239,0.5485021,-2.830389,-0.9069062,0.5729489
0.0165,348.9042,170.5039,0.01847122,-0.3954744,-0.1728521,-0.6317978,-0.7623453,-0.07388465,-1.132742,-1.069515,0.0832379,-1.854517,-1.299892,0.2010798,-2.395849,-1.722983,-0.07798757,-0.770284,-2.31914,-0.1795676,-1.066504,-2.742533,-0.3369085,-1.294623,-3.072957,-0.512076,-1.48356,-1.731258,-0.1697317,-0.3249316,-2.535152,-0.0424163,-0.4340859,-3.115574,0.04950707,-0.5128967,-3.530052,0.1151492,-0.5691754,-1.669683,-0.2886916,0.07019363,-2.40651,-0.5014306,0.03799506,-2.874789,-0.7758043,-0.009341761,-3.224821,-1.068698,-0.06168008,-1.523426,-0.431587,0.4113951,-2.152747,-0.5616722,0.5076927,-2.520787,-0.7205239,0.5485021,-2.830389,-0.9069062,0.5729489
0.0195,348.9042,170.5039,0.01847122,-0.3954744,-0.1728521,-0.6317978,-0.7623453,-0.07388465,-1.132742,-1.069515,0.0832379,-1.854517,-1.299892,0.2010798,-2.395849,-1.722983,-0.07798757,-0.770284,-2.31914,-0.1795676,-1.066504,-2.742533,-0.3369085,-1.294623,-3.072957,-0.512076,-1.48356,-1.731258,-0.1697317,-0.3249316,-2.535152,-0.0424163,-0.4340859,-3.115574,0.04950707,-0.5128967,-3.530052,0.1151492,-0.5691754,-1.669683,-0.2886916,0.07019363,-2.40651,-0.5014306,0.03799506,-2.874789,-0.7758043,-0.009341761,-3.224821,-1.068698,-0.06168008,-1.523426,-0.431587,0.4113951,-2.152747,-0.5616722,0.5076927,-2.520787,-0.7205239,0.5485021,-2.830389,-0.9069062,0.5729489
0.0220,348.8758,170.4488,0.05655103,-0.3950443,-0.1722532,-0.6322298,-0.761445,-0.07269651,-1.133402,-1.06851,0.08528668,-1.855034,-1.298809,0.2037741,-2.396258,-1.722384,-0.07656082,-0.7717642,-2.318411,-0.177363,-1.068512,-2.741836,-0.3339803,-1.297067,-3.072388,-0.5084865,-1.486394,-1.731081,-0.1685658,-0.3264737,-2.53471,-0.03994295,-0.4360462,-3.114941,0.05292443,-0.515159,-3.529282,0.1192407,-0.5716532,-1.669902,-0.2877959,0.06863147,-2.406837,-0.5000517,0.03570259,-2.875269,-0.7740703,-0.01217492,-3.225476,-1.066673,-0.06496631,-1.52401,-0.4309769,0.4098693,-2.153366,-0.5614405,0.5054161,-2.521135,-0.7210877,0.5455654,-2.830197,-0.9084545,0.5693012
0.0246,348.8758,170.4488,0.05655103,-0.3950443,-0.1722532,-0.6322298,-0.761445,-0.07269651,-1.133402,-1.06851,0.08528668,-1.855034,-1.298809,0.2037741,-2.396258,-1.722384,-0.07656082,-0.7717642,-2.318411,-0.177363,-1.068512,-2.741836,-0.3339803,-1.297067,-3.072388,-0.5084865,-1.486394,-1.731081,-0.1685658,-0.3264737,-2.53471,-0.03994295,-0.4360462,-3.114941,0.05292443,-0.515159,-3.529282,0.1192407,-0.5716532,-1.669902,-0.2877959,0.06863147,-2.406837,-0.5000517,0.03570259,-2.875269,-0.7740703,-0.01217492,-3.225476,-1.066673,-0.06496631,-1.52401,-0.4309769,0.4098693,-2.153366,-0.5614405,0.5054161,-2.521135,-0.7210877,0.5455654,-2.830197,-0.9084545,0.5693012
0.0270,348.8758,170.4488,0.05655103,-0.3950443,-0.1722532,-0.6322298,-0.761445,-0.07269651,-1.133402,-1.06851,0.08528668,-1.855034,-1.298809,0.2037741,-2.396258,-1.722384,-0.07656082,-0.7717642,-2.318411,-0.177363,-1.068512,-2.741836,-0.3339803,-1.297067,-3.072388,-0.5084865,-1.486394,-1.731081,-0.1685658,-0.3264737,-2.53471,-0.03994295,-0.4360462,-3.114941,0.05292443,-0.515159,-3.529282,0.1192407,-0.5716532,-1.669902,-0.2877959,0.06863147,-2.406837,-0.5000517,0.03570259,-2.875269,-0.7740703,-0.01217492,-3.225476,-1.066673,-0.06496631,-1.52401,-0.4309769,0.4098693,-2.153366,-0.5614405,0.5054161,-2.521135,-0.7210877,0.5455654,-2.830197,-0.9084545,0.5693012
0.0299,348.8758,170.4488,0.05655103,-0.3950443,-0.1722532,-0.6322298,-0.761445,-0.07269651,-1.133402,-1.06851,0.08528668,-1.855034,-1.298809,0.2037741,-2.396258,-1.722384,-0.07656082,-0.7717642,-2.318411,-0.177363,-1.068512,-2.741836,-0.3339803,-1.297067,-3.072388,-0.5084865,-1.486394,-1.731081,-0.1685658,-0.3264737,-2.53471,-0.03994295,-0.4360462,-3.114941,0.05292443,-0.515159,-3.529282,0.1192407,-0.5716532,-1.669902,-0.2877959,0.06863147,-2.406837,-0.5000517,0.03570259,-2.875269,-0.7740703,-0.01217492,-3.225476,-1.066673,-0.06496631,-1.52401,-0.4309769,0.4098693,-2.153366,-0.5614405,0.5054161,-2.521135,-0.7210877,0.5455654,-2.830197,-0.9084545,0.5693012
0.0330,348.8372,170.4084,0.1072751,-0.3948345,-0.171448,-0.6325798,-0.7608929,-0.07117777,-1.13386,-1.067917,0.08772317,-1.855307,-1.298185,0.2068989,-2.396393,-1.722027,-0.0746543,-0.7727463,-2.318108,-0.1741479,-1.069828,-2.741842,-0.3294451,-1.29871,-3.072857,-0.5026994,-1.488377,-1.731031,-0.1670126,-0.3275352,-2.534247,-0.03574073,-0.4369968,-3.11418,0.05903932,-0.5160297,-3.528306,0.1267214,-0.5724666,-1.670152,-0.2866075,0.06750599,-2.407241,-0.4982413,0.03402069,-2.875887,-0.7718133,-0.01431689,-3.226334,-1.064054,-0.06752007,-1.524549,-0.4301727,0.4087059,-2.154018,-0.560451,0.5037647,-2.521806,-0.7201557,0.5435088,-2.830815,-0.907661,0.5668232
0.0393,348.8051,170.348,0.16196,-0.3944263,-0.1706715,-0.6330442,-0.7599659,-0.06975271,-1.134573,-1.066807,0.08987328,-1.855938,-1.296938,0.2095928,-2.396963,-1.721416,-0.07267731,-0.774295,-2.317488,-0.1707046,-1.071882,-2.741533,-0.3244883,-1.301211,-3.073051,-0.4962937,-1.491315,-1.730885,-0.165344,-0.3291574,-2.533386,-0.02959417,-0.4383875,-3.112804,0.06841895,-0.517253,-3.526564,0.1384098,-0.5735706,-1.670447,-0.2852696,0.06585166,-2.407727,-0.4961151,0.03160603,-2.876675,-0.7690693,-0.01729384,-3.227486,-1.060787,-0.07096961,-1.52526,-0.4291976,0.4070759,-2.15484,-0.5594817,0.5013928,-2.522524,-0.7195766,0.540526,-2.831253,-0.9076219,0.5632046
